id,city,country,latitude,longitude,temperature,humidity,cloudiness
262462,Saint George,GR,39.45,22.34,13,82,40
1213855,Sibolga,ID,1.74,98.78,28.45,68,100
691693,Druzhba,UA,49.36,25.65,12.22,77,100
6149374,Slave Lake,CA,55.28,-114.77,3,47,1
3896218,Castro,CL,-42.48,-73.76,10,100,90
3833367,Ushuaia,AR,-54.81,-68.31,4,64,20
2075265,Busselton,AU,-33.64,115.35,19.41,63,98
964432,Port Alfred,ZA,-33.59,26.89,14.44,88,49
7671223,Kloulklubed,PW,7.04,134.26,30,74,75
3194494,Niksic,ME,42.77,18.95,13.67,93,90
1015776,Bredasdorp,ZA,-34.53,20.04,12.06,81,100
344979,Lebu,ET,8.96,38.73,13.35,51,47
3393471,Oriximina,BR,-1.77,-55.87,26.15,81,60
2110227,Butaritari,KI,3.07,172.79,28.65,80,100
3423146,Ilulissat,GL,69.22,-51.1,12,37,77
5106834,Albany,US,42.65,-73.75,13.47,100,90
1273574,Vaini,IN,15.34,74.49,22.02,88,1
2123814,Leningradskiy,RU,69.38,178.42,-5.65,85,98
3453439,Ponta do Sol,BR,-20.63,-46,18.35,96,100
2980080,Saint-Francois,FR,46.42,3.91,2.13,93,20
3466165,Cidreira,BR,-30.17,-50.22,23.75,86,100
2293538,Abidjan,CI,5.32,-4.02,27,88,40
3369157,Cape Town,ZA,-33.93,18.42,12.44,81,0
3366880,Hermanus,ZA,-34.42,19.24,13.28,76,100
2163355,Hobart,AU,-42.88,147.33,13.6,58,75
3686513,Cordoba,CO,5.59,-73.79,17.05,82,98
6185377,Yellowknife,CA,62.45,-114.38,0.05,78,75
5924351,Clyde River,CA,70.47,-68.59,-5,92,90
3863379,Mar del Plata,AR,-46.43,-67.52,7.95,62,0
3378644,Georgetown,GY,6.8,-58.16,24,100,40
2399870,Lastoursville,GA,-0.81,12.73,22.85,96,100
4030556,Rikitea,PF,-23.12,-134.97,25.45,85,1
3421765,Nanortalik,GL,60.14,-45.24,2.75,87,100
2191562,Dunedin,NZ,-45.87,170.5,12.78,86,91
4020109,Atuona,PF,-9.8,-139.03,28.85,74,28
217834,Bukama,CD,-9.2,25.85,19.95,80,29
588365,Vao,EE,59.1,26.19,0.75,91,63
3466980,Caravelas,BR,-17.73,-39.27,25.05,77,64
2126123,Chokurdakh,RU,70.62,147.9,-5.75,94,1
3016194,Durban,FR,43.54,0.58,2.31,96,0
1167648,Qadirpur Ran,PK,30.29,71.67,27,42,0
3981460,Coahuayana,MX,18.62,-100.35,30.95,21,27
2267254,Lagoa,PT,37.14,-8.45,13.64,93,20
866062,Iskateley,RU,67.68,53.15,-0.05,86,95
4732862,Nome,US,30.04,-94.42,21.91,83,1
4267710,Sitka,US,37.17,-99.65,15.56,83,82
962367,Richards Bay,ZA,-28.77,32.06,22.35,83,100
5640350,Billings,US,45.79,-108.5,12.37,44,75
5847486,Kailua,US,21.39,-157.74,21.45,88,75
5129780,Olean,US,42.08,-78.43,10.74,100,90
3056418,Adand,HU,46.86,18.16,9.45,93,100
3833859,Barrow,AR,-38.31,-60.23,15.35,80,100
2017155,Saskylakh,RU,71.97,114.09,-8.65,92,100
1525988,Ayagoz,KZ,47.96,80.43,10.15,38,0
2361177,Djibo,BF,14.1,-1.63,31.15,39,82
4031637,Lavrentiya,RU,65.58,-170.99,-2.05,97,100
5861897,Fairbanks,US,64.84,-147.72,6.81,42,90
2337542,Naze,NG,5.43,7.07,24.55,96,89
2175403,Bluff,AU,-23.58,149.07,24.05,27,0
2065594,Mount Isa,AU,-20.73,139.49,24,29,0
934322,Mahebourg,MU,-20.41,57.7,23.37,94,40
778707,Mehamn,NO,71.03,27.85,-1.45,87,100
1853140,Sakata,JP,38.92,139.93,19.79,52,0
5850554,Makakilo City,US,21.35,-158.09,21.46,88,75
2012530,Zhigansk,RU,66.77,123.37,1.05,96,100
2654970,Brae,GB,60.4,-1.35,6,75,100
3407010,Assare,BR,-6.87,-39.88,20.25,71,2
1805844,Jieshou,CN,33.26,115.35,29.25,34,100
2274895,Monrovia,LR,6.33,-10.8,24,94,40
3874787,Punta Arenas,CL,-53.16,-70.91,-1,92,0
4036284,Alofi,NU,-19.06,-169.92,24,94,100
235574,Kem,UG,2.68,33.77,20.45,88,100
3137469,Sorland,NO,67.67,12.69,2.85,55,48
1706599,Liboran,PH,8.35,124.65,30,69,31
6201424,Mataura,NZ,-46.19,168.86,11.67,95,99
3948642,Matara,PE,-13.74,-72.9,1.15,93,2
6089245,Norman Wells,CA,65.28,-126.83,2,43,75
1651810,Airai,TL,-8.93,125.41,31.35,49,2
2648579,Glasgow,GB,55.86,-4.24,3.66,86,75
2155415,New Norfolk,AU,-42.78,147.06,13.59,58,75
471160,Voznesenye,RU,61.02,35.48,5.25,77,95
2037078,Hailar,CN,49.2,119.7,6.75,28,0
5880568,Bethel,US,60.79,-161.76,7.74,52,90
108410,Riyadh,SA,24.63,46.72,26,31,0
2063036,Port Lincoln,AU,-34.72,135.86,16.05,59,0
4231997,Avera,US,33.19,-82.53,21.03,100,90
5848280,Kapaa,US,22.08,-159.32,23.8,57,40
1512019,Aksarka,RU,66.56,67.8,1.25,84,0
5937073,Deep River,CA,46.1,-77.49,6.35,61,1
2112802,Hasaki,JP,35.73,140.83,23.78,60,75
5606187,Saint Anthony,US,43.97,-111.68,15.48,20,1
6170031,Tuktoyaktuk,CA,69.44,-133.03,-6,79,40
1805270,Jishou,CN,28.26,109.7,16.35,95,100
2409914,Bonthe,SL,7.53,-12.5,27.75,75,100
5855927,Hilo,US,19.71,-155.08,25.2,65,75
3448903,Sao Joao da Barra,BR,-21.64,-41.05,21.05,95,95
2209055,Waddan,LY,29.16,16.14,21.35,50,45
